Ordinal_Position	Table_Catalog	Table_Schema	Table_Name	Column_Name	Is_Nullable	Data_Type	Numeric_Precision	Numeric_Scale
5	def	jgalatti_twilight	user_pref	pref_type	NO	varchar		
6	def	jgalatti_twilight	user_pref	pref_value	NO	varchar		
7	def	jgalatti_twilight	user_pref	active	YES	varchar		
8	def	jgalatti_twilight	user_pref	rowid	NO	int	10	0
1	def	jgalatti_twilight	user_pref_types	pref_type	NO	varchar		
2	def	jgalatti_twilight	user_pref_types	pref_value	NO	varchar		
3	def	jgalatti_twilight	user_pref_types	pref_desc	NO	varchar		
4	def	jgalatti_twilight	user_pref_types	sortKey	NO	double	22	
5	def	jgalatti_twilight	user_pref_types	rowid	NO	int	10	0
1	def	jgalatti_twilight	user_registration	userid	NO	varchar		
2	def	jgalatti_twilight	user_registration	first_name	NO	varchar		
3	def	jgalatti_twilight	user_registration	last_name	NO	varchar		
4	def	jgalatti_twilight	user_registration	contact	YES	varchar		
5	def	jgalatti_twilight	user_registration	email_address	NO	varchar		
6	def	jgalatti_twilight	user_registration	active	NO	varchar		
7	def	jgalatti_twilight	user_registration	rowid	NO	int	10	0
1	def	jgalatti_twilight	user_table	table_name	NO	varchar		
2	def	jgalatti_twilight	user_table	field_name	NO	varchar		
3	def	jgalatti_twilight	user_table	label	NO	varchar		
4	def	jgalatti_twilight	user_table	length	NO	int	10	0
5	def	jgalatti_twilight	user_table	obj_name	NO	varchar		
6	def	jgalatti_twilight	user_table	data_type	NO	varchar		
7	def	jgalatti_twilight	user_table	prime_key	NO	char		
8	def	jgalatti_twilight	user_table	required	NO	char		
